year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1978,Group 4,Iran,Netherlands,0,3,A,Netherlands,1978-06-03
1978,Group 4,Peru,Scotland,3,1,H,Peru,1978-06-03
1978,Group 1,Argentina,France,2,1,H,Argentina,1978-06-06
1978,Group 2,West Germany,Mexico,6,0,H,West Germany,1978-06-06
1978,Group 1,Hungary,Italy,1,3,A,Italy,1978-06-06
1978,Group 2,Poland,Tunisia,1,0,H,Poland,1978-06-06
1978,Group 3,Austria,Sweden,1,0,H,Austria,1978-06-07
1978,Group 3,Brazil,Spain,0,0,D,Tied,1978-06-07
1978,Group 4,Iran,Scotland,1,1,D,Tied,1978-06-07
1978,Group 4,Netherlands,Peru,0,0,D,Tied,1978-06-07
1978,Group 1,Argentina,Italy,0,1,A,Italy,1978-06-10
1978,Group 1,France,Hungary,3,1,H,France,1978-06-10
1978,Group 2,West Germany,Tunisia,0,0,D,Tied,1978-06-10
1978,Group 2,Mexico,Poland,1,3,A,Poland,1978-06-10
1978,Group 3,Austria,Brazil,0,1,A,Brazil,1978-06-11
1978,Group 4,Iran,Peru,1,4,A,Peru,1978-06-11
1978,Group 4,Netherlands,Scotland,2,3,A,Scotland,1978-06-11
1978,Group 3,Spain,Sweden,1,0,H,Spain,1978-06-11
1978,Group B,Argentina,Poland,2,0,H,Argentina,1978-06-14
1978,Group A,Austria,Netherlands,1,5,A,Netherlands,1978-06-14
1978,Group B,Brazil,Peru,3,0,H,Brazil,1978-06-14
1978,Group A,West Germany,Italy,0,0,D,Tied,1978-06-14
1978,Group B,Argentina,Brazil,0,0,D,Tied,1978-06-18
1978,Group A,Austria,Italy,0,1,A,Italy,1978-06-18
1978,Group A,West Germany,Netherlands,2,2,D,Tied,1978-06-18
1978,Group B,Peru,Poland,0,1,A,Poland,1978-06-18
1978,Group B,Argentina,Peru,6,0,H,Argentina,1978-06-21
1978,Group A,Austria,West Germany,3,2,H,Austria,1978-06-21
1978,Group B,Brazil,Poland,3,1,H,Brazil,1978-06-21
1978,Group A,Italy,Netherlands,1,2,A,Netherlands,1978-06-21
1978,Third place,Brazil,Italy,2,1,H,Brazil,1978-06-24
1978,Final,Argentina,Netherlands,3,1,H,Argentina,1978-06-25
1982,Group 3,Argentina,Belgium,0,1,A,Belgium,1982-06-13
1982,Group 6,Brazil,Soviet Union,2,1,H,Brazil,1982-06-14
1982,Group 1,Italy,Poland,0,0,D,Tied,1982-06-14
1982,Group 3,Hungary,El Salvador,10,1,H,Hungary,1982-06-15
1982,Group 1,Peru,Cameroon,0,0,D,Tied,1982-06-15
1982,Group 6,Scotland,New Zealand,5,2,H,Scotland,1982-06-15
1982,Group 4,England,France,3,1,H,England,1982-06-16
1982,Group 2,West Germany,Algeria,1,2,A,Algeria,1982-06-16
1982,Group 5,Spain,Honduras,1,1,D,Tied,1982-06-16
1982,Group 2,Chile,Austria,0,1,A,Austria,1982-06-17
1982,Group 4,Czechoslovakia,Kuwait,1,1,D,Tied,1982-06-17
1982,Group 5,Yugoslavia,Northern Ireland,0,0,D,Tied,1982-06-17
1982,Group 3,Argentina,Hungary,4,1,H,Argentina,1982-06-18
1982,Group 6,Brazil,Scotland,4,1,H,Brazil,1982-06-18
1982,Group 1,Italy,Peru,1,1,D,Tied,1982-06-18
1982,Group 3,Belgium,El Salvador,1,0,H,Belgium,1982-06-19
1982,Group 1,Poland,Cameroon,0,0,D,Tied,1982-06-19
1982,Group 6,Soviet Union,New Zealand,3,0,H,Soviet Union,1982-06-19
1982,Group 4,England,Czechoslovakia,2,0,H,England,1982-06-20
1982,Group 2,West Germany,Chile,4,1,H,West Germany,1982-06-20
1982,Group 5,Spain,Yugoslavia,2,1,H,Spain,1982-06-20
1982,Group 2,Algeria,Austria,0,2,A,Austria,1982-06-21
1982,Group 4,France,Kuwait,4,1,H,France,1982-06-21
1982,Group 5,Honduras,Northern Ireland,1,1,D,Tied,1982-06-21
1982,Group 3,Belgium,Hungary,1,1,D,Tied,1982-06-22
1982,Group 1,Poland,Peru,5,1,H,Poland,1982-06-22
1982,Group 6,Soviet Union,Scotland,2,2,D,Tied,1982-06-22
1982,Group 3,Argentina,El Salvador,2,0,H,Argentina,1982-06-23
1982,Group 6,Brazil,New Zealand,4,0,H,Brazil,1982-06-23
1982,Group 1,Italy,Cameroon,1,1,D,Tied,1982-06-23
1982,Group 2,Algeria,Chile,3,2,H,Algeria,1982-06-24
1982,Group 4,France,Czechoslovakia,1,1,D,Tied,1982-06-24
1982,Group 5,Honduras,Yugoslavia,0,1,A,Yugoslavia,1982-06-24
1982,Group 4,England,Kuwait,1,0,H,England,1982-06-25
1982,Group 2,West Germany,Austria,1,0,H,West Germany,1982-06-25
1982,Group 5,Spain,Northern Ireland,0,1,A,Northern Ireland,1982-06-25
1982,Group D,Austria,France,0,1,A,France,1982-06-28
1982,Group A,Poland,Belgium,3,0,H,Poland,1982-06-28
1982,Group B,West Germany,England,0,0,D,Tied,1982-06-29
1982,Group C,Italy,Argentina,2,1,H,Italy,1982-06-29
1982,Group D,Austria,Northern Ireland,2,2,D,Tied,1982-07-01
1982,Group A,Belgium,Soviet Union,0,1,A,Soviet Union,1982-07-01
1982,Group C,Argentina,Brazil,1,3,A,Brazil,1982-07-02
